ORIGEN,DESTINO,weight
BIGUANIDA,BIGUANIDA/SULFONILUREAS,5
BIGUANIDA,GLITAZONA-TIAZOLINDIONAS,92431
BIGUANIDA,INHIBIDOR DE ALFA GLUCOSIDASA,18930
BIGUANIDA,INHIBIDOR DPP4,234822
BIGUANIDA,INHIBIDOR DPP4/BIGUANIDA,67445
BIGUANIDA,INSULINA BASAL,412140
BIGUANIDA,INSULINA BOLO,43302
BIGUANIDA,INSULINA MEZCLA,26204
BIGUANIDA,SGLT2,147875
BIGUANIDA,SGLT2/BIGUANIDA,3
BIGUANIDA,SULFONILUREA,368835
BIGUANIDA/SULFONILUREAS,BIGUANIDA,5
BIGUANIDA/SULFONILUREAS,GLITAZONA-TIAZOLINDIONAS,1
BIGUANIDA/SULFONILUREAS,INHIBIDOR DE ALFA GLUCOSIDASA,1
BIGUANIDA/SULFONILUREAS,INHIBIDOR DPP4,1
BIGUANIDA/SULFONILUREAS,INHIBIDOR DPP4/BIGUANIDA,1
BIGUANIDA/SULFONILUREAS,INSULINA BASAL,2
BIGUANIDA/SULFONILUREAS,INSULINA MEZCLA,1
BIGUANIDA/SULFONILUREAS,SGLT2,6
BIGUANIDA/SULFONILUREAS,SULFONILUREA,2
GLITAZONA-TIAZOLINDIONAS,BIGUANIDA,92431
GLITAZONA-TIAZOLINDIONAS,BIGUANIDA/SULFONILUREAS,1
GLITAZONA-TIAZOLINDIONAS,INHIBIDOR DE ALFA GLUCOSIDASA,2432
GLITAZONA-TIAZOLINDIONAS,INHIBIDOR DPP4,27095
GLITAZONA-TIAZOLINDIONAS,INHIBIDOR DPP4/BIGUANIDA,39726
GLITAZONA-TIAZOLINDIONAS,INSULINA BASAL,56055
GLITAZONA-TIAZOLINDIONAS,INSULINA BOLO,6313
GLITAZONA-TIAZOLINDIONAS,INSULINA MEZCLA,9033
GLITAZONA-TIAZOLINDIONAS,SGLT2,19315
GLITAZONA-TIAZOLINDIONAS,SGLT2/BIGUANIDA,2
GLITAZONA-TIAZOLINDIONAS,SULFONILUREA,23983
GLP-1,INSULINA BASAL,1
GLP-1,SGLT2,1
INHIBIDOR DE ALFA GLUCOSIDASA,BIGUANIDA,18930
INHIBIDOR DE ALFA GLUCOSIDASA,BIGUANIDA/SULFONILUREAS,1
INHIBIDOR DE ALFA GLUCOSIDASA,GLITAZONA-TIAZOLINDIONAS,2432
INHIBIDOR DE ALFA GLUCOSIDASA,INHIBIDOR DPP4,2502
INHIBIDOR DE ALFA GLUCOSIDASA,INHIBIDOR DPP4/BIGUANIDA,2485
INHIBIDOR DE ALFA GLUCOSIDASA,INSULINA BASAL,5490
INHIBIDOR DE ALFA GLUCOSIDASA,INSULINA BOLO,552
INHIBIDOR DE ALFA GLUCOSIDASA,INSULINA MEZCLA,331
INHIBIDOR DE ALFA GLUCOSIDASA,SGLT2,1171
INHIBIDOR DE ALFA GLUCOSIDASA,SULFONILUREA,11422
INHIBIDOR DPP4,BIGUANIDA,234822
INHIBIDOR DPP4,BIGUANIDA/SULFONILUREAS,1
INHIBIDOR DPP4,GLITAZONA-TIAZOLINDIONAS,27095
INHIBIDOR DPP4,INHIBIDOR DE ALFA GLUCOSIDASA,2502
INHIBIDOR DPP4,INHIBIDOR DPP4/BIGUANIDA,8235
INHIBIDOR DPP4,INSULINA BASAL,108548
INHIBIDOR DPP4,INSULINA BOLO,11313
INHIBIDOR DPP4,INSULINA MEZCLA,10622
INHIBIDOR DPP4,SGLT2,43326
INHIBIDOR DPP4,SGLT2/BIGUANIDA,3
INHIBIDOR DPP4,SULFONILUREA,28693
INHIBIDOR DPP4/BIGUANIDA,BIGUANIDA,67445
INHIBIDOR DPP4/BIGUANIDA,BIGUANIDA/SULFONILUREAS,1
INHIBIDOR DPP4/BIGUANIDA,GLITAZONA-TIAZOLINDIONAS,39726
INHIBIDOR DPP4/BIGUANIDA,INHIBIDOR DE ALFA GLUCOSIDASA,2485
INHIBIDOR DPP4/BIGUANIDA,INHIBIDOR DPP4,8235
INHIBIDOR DPP4/BIGUANIDA,INSULINA BASAL,140015
INHIBIDOR DPP4/BIGUANIDA,INSULINA BOLO,15266
INHIBIDOR DPP4/BIGUANIDA,INSULINA MEZCLA,12815
INHIBIDOR DPP4/BIGUANIDA,SGLT2,63890
INHIBIDOR DPP4/BIGUANIDA,SGLT2/BIGUANIDA,3
INHIBIDOR DPP4/BIGUANIDA,SULFONILUREA,39286
INHIBIDOR DPP4/GLITAZONA-TIAZOLINDIONAS,INSULINA BASAL,1
INSULINA BASAL,BIGUANIDA,412140
INSULINA BASAL,BIGUANIDA/SULFONILUREAS,2
INSULINA BASAL,GLITAZONA-TIAZOLINDIONAS,56055
INSULINA BASAL,GLP-1,1
INSULINA BASAL,INHIBIDOR DE ALFA GLUCOSIDASA,5490
INSULINA BASAL,INHIBIDOR DPP4,108548
INSULINA BASAL,INHIBIDOR DPP4/BIGUANIDA,140015
INSULINA BASAL,INHIBIDOR DPP4/GLITAZONA-TIAZOLINDIONAS,1
INSULINA BASAL,INSULINA BOLO,89053
INSULINA BASAL,INSULINA MEZCLA,5430
INSULINA BASAL,SGLT2,113573
INSULINA BASAL,SGLT2/BIGUANIDA,7
INSULINA BASAL,SULFONILUREA,16015
INSULINA BOLO,BIGUANIDA,43302
INSULINA BOLO,GLITAZONA-TIAZOLINDIONAS,6313
INSULINA BOLO,INHIBIDOR DE ALFA GLUCOSIDASA,552
INSULINA BOLO,INHIBIDOR DPP4,11313
INSULINA BOLO,INHIBIDOR DPP4/BIGUANIDA,15266
INSULINA BOLO,INSULINA BASAL,89053
INSULINA BOLO,INSULINA MEZCLA,3579
INSULINA BOLO,SGLT2,14720
INSULINA BOLO,SGLT2/BIGUANIDA,2
INSULINA BOLO,SULFONILUREA,1079
INSULINA MEZCLA,BIGUANIDA,26204
INSULINA MEZCLA,BIGUANIDA/SULFONILUREAS,1
INSULINA MEZCLA,GLITAZONA-TIAZOLINDIONAS,9033
INSULINA MEZCLA,INHIBIDOR DE ALFA GLUCOSIDASA,331
INSULINA MEZCLA,INHIBIDOR DPP4,10622
INSULINA MEZCLA,INHIBIDOR DPP4/BIGUANIDA,12815
INSULINA MEZCLA,INSULINA BASAL,5430
INSULINA MEZCLA,INSULINA BOLO,3579
INSULINA MEZCLA,SGLT2,12834
INSULINA MEZCLA,SULFONILUREA,593
SGLT2,BIGUANIDA,147875
SGLT2,BIGUANIDA/SULFONILUREAS,6
SGLT2,GLITAZONA-TIAZOLINDIONAS,19315
SGLT2,GLP-1,1
SGLT2,INHIBIDOR DE ALFA GLUCOSIDASA,1171
SGLT2,INHIBIDOR DPP4,43326
SGLT2,INHIBIDOR DPP4/BIGUANIDA,63890
SGLT2,INSULINA BASAL,113573
SGLT2,INSULINA BOLO,14720
SGLT2,INSULINA MEZCLA,12834
SGLT2,SULFONILUREA,20334
SGLT2/BIGUANIDA,BIGUANIDA,3
SGLT2/BIGUANIDA,GLITAZONA-TIAZOLINDIONAS,2
SGLT2/BIGUANIDA,INHIBIDOR DPP4,3
SGLT2/BIGUANIDA,INHIBIDOR DPP4/BIGUANIDA,3
SGLT2/BIGUANIDA,INSULINA BASAL,7
SGLT2/BIGUANIDA,INSULINA BOLO,2
SGLT2/BIGUANIDA,SULFONILUREA,1
SULFONILUREA,BIGUANIDA,368835
SULFONILUREA,BIGUANIDA/SULFONILUREAS,2
SULFONILUREA,GLITAZONA-TIAZOLINDIONAS,23983
SULFONILUREA,INHIBIDOR DE ALFA GLUCOSIDASA,11422
SULFONILUREA,INHIBIDOR DPP4,28693
SULFONILUREA,INHIBIDOR DPP4/BIGUANIDA,39286
SULFONILUREA,INSULINA BASAL,16015
SULFONILUREA,INSULINA BOLO,1079
SULFONILUREA,INSULINA MEZCLA,593
SULFONILUREA,SGLT2,20334
SULFONILUREA,SGLT2/BIGUANIDA,1
