ORIGEN,DESTINO,weight
010.000.5700.00.00,010.000.5703.01.00,1
010.000.5700.00.00,010.000.1050.01.02,1
010.000.5700.00.00,010.000.4158.00.00,2
010.000.5700.00.00,010.000.5165.00.00,1
010.000.5700.00.00,010.000.5621.00.00,1
010.000.5700.00.00,010.000.6007.01.00,2
010.000.5700.00.00,010.000.6008.00.00,1
010.000.5701.00.00,010.000.1042.00.00,1
010.000.5701.00.00,010.000.1050.01.02,1
010.000.5701.00.00,010.000.4158.00.00,2
010.000.5701.00.00,010.000.5165.00.00,1
010.000.5701.00.00,010.000.5621.00.00,1
010.000.5701.00.00,010.000.6007.01.00,1
010.000.5702.00.00,010.000.4149.00.00,1
010.000.5702.00.00,010.000.6007.01.00,3
010.000.5703.00.00,010.000.5703.01.00,13
010.000.5703.00.00,010.000.5741.00.00,5
010.000.5703.00.00,010.000.1042.00.00,40
010.000.5703.00.00,010.000.1050.00.02,2
010.000.5703.00.00,010.000.1050.01.02,34
010.000.5703.00.00,010.000.1051.01.00,4
010.000.5703.00.00,010.000.4148.01.00,11
010.000.5703.00.00,010.000.4149.00.00,21
010.000.5703.00.00,010.000.4152.00.00,1
010.000.5703.00.00,010.000.4152.01.00,4
010.000.5703.00.00,010.000.4158.00.00,44
010.000.5703.00.00,010.000.4162.00.00,1
010.000.5703.00.00,010.000.5165.00.00,58
010.000.5703.00.00,010.000.5166.00.00,3
010.000.5703.00.00,010.000.6007.01.00,18
010.000.5703.01.00,010.000.5700.00.00,1
010.000.5703.01.00,010.000.5703.00.00,13
010.000.5703.01.00,010.000.5704.00.00,2
010.000.5703.01.00,010.000.5705.00.00,1
010.000.5703.01.00,010.000.5740.00.00,2
010.000.5703.01.00,010.000.5741.00.00,4172
010.000.5703.01.00,010.000.6340.00.00,1
010.000.5703.01.00,010.000.1042.00.00,18490
010.000.5703.01.00,010.000.1050.00.02,5
010.000.5703.01.00,010.000.1050.01.02,21774
010.000.5703.01.00,010.000.1051.00.00,22
010.000.5703.01.00,010.000.1051.01.00,4830
010.000.5703.01.00,010.000.4148.00.02,2
010.000.5703.01.00,010.000.4148.01.00,6447
010.000.5703.01.00,010.000.4149.00.00,17808
010.000.5703.01.00,010.000.4152.01.00,2677
010.000.5703.01.00,010.000.4153.00.00,1
010.000.5703.01.00,010.000.4157.00.02,1
010.000.5703.01.00,010.000.4158.00.00,43865
010.000.5703.01.00,010.000.4162.00.00,2928
010.000.5703.01.00,010.000.4165.00.00,4
010.000.5703.01.00,010.000.5165.00.00,32367
010.000.5703.01.00,010.000.5166.00.00,1792
010.000.5703.01.00,010.000.5621.00.00,1490
